                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0655,                0.60383,                 1.0125,                0.89576,                0.89725,                0.93551,                 0.6339,                  1.119,                 0.5983,                 1.0457,               0.006535,               0.006535,               0.006535
                     37,                 1.0566,                0.58679,                 1.0006,                0.89253,                0.89456,                0.92883,                0.62078,                  1.156,                0.62219,                 1.0573,               0.006436,               0.006436,               0.006436
                     38,                 1.0531,                0.57832,                 1.0007,                 0.9013,                0.90331,                0.93597,                0.62762,                 1.1524,                0.60293,                 1.0583,               0.006337,               0.006337,               0.006337
                     39,                 1.0457,                0.58113,                0.99481,                0.90039,                0.91134,                0.93764,                0.64083,                 1.1055,                0.58732,                   1.04,               0.006238,               0.006238,               0.006238
                     40,                 1.0315,                0.57345,                0.99352,                0.90468,                0.91044,                0.93908,                0.63918,                 1.1281,                0.58248,                 1.0533,               0.006139,               0.006139,               0.006139
                     41,                 1.0379,                0.57488,                 1.0038,                0.90762,                0.90822,                0.93832,                0.63922,                 1.1169,                0.57174,                 1.0465,                0.00604,                0.00604,                0.00604
                     42,                 1.0411,                0.57575,                 0.9959,                0.90256,                0.91587,                0.94114,                0.64996,                 1.0955,                0.56368,                 1.0372,               0.005941,               0.005941,               0.005941
                     43,                 1.0222,                0.56725,                0.99214,                0.91049,                0.90566,                0.93892,                0.64351,                 1.1105,                0.57047,                 1.0458,               0.005842,               0.005842,               0.005842
                     44,                 1.0124,                  0.558,                0.99385,                0.91336,                0.91381,                0.94455,                0.65369,                 1.0798,                 0.5543,                  1.031,               0.005743,               0.005743,               0.005743
                     45,                0.99163,                0.54548,                0.97178,                0.90989,                 0.9149,                0.94629,                0.65756,                 1.0713,                0.55029,                 1.0295,               0.005644,               0.005644,               0.005644
                     46,                  1.005,                0.56117,                0.98531,                0.91137,                0.91879,                 0.9472,                0.66227,                  1.057,                0.54681,                 1.0227,               0.005545,               0.005545,               0.005545
                     47,                0.99724,                0.54528,                0.97948,                0.90376,                0.92273,                0.94393,                0.65629,                 1.0803,                0.55634,                 1.0326,               0.005446,               0.005446,               0.005446
                     48,                0.98544,                  0.551,                0.97737,                0.91326,                0.92181,                0.94809,                0.66117,                  1.065,                 0.5426,                 1.0276,               0.005347,               0.005347,               0.005347
                     49,                0.96985,                0.53404,                0.97447,                0.91272,                 0.9194,                0.94739,                0.65994,                 1.0728,                0.54425,                 1.0298,               0.005248,               0.005248,               0.005248
                     50,                0.96451,                0.53029,                0.96722,                 0.9125,                0.92227,                0.94562,                0.65723,                 1.0673,                0.54915,                 1.0284,               0.005149,               0.005149,               0.005149
                     51,                  0.968,                0.52976,                0.96975,                0.91304,                  0.925,                0.94779,                0.66469,                 1.0523,                0.54228,                 1.0201,                0.00505,                0.00505,                0.00505
                     52,                0.95793,                0.52333,                0.96988,                0.91286,                0.91846,                0.94731,                0.66538,                 1.0525,                0.54097,                 1.0191,               0.004951,               0.004951,               0.004951
                     53,                0.95818,                0.52707,                0.96127,                0.91654,                 0.9242,                0.94799,                0.66771,                  1.042,                0.53285,                 1.0168,               0.004852,               0.004852,               0.004852
                     54,                0.95552,                0.52164,                0.96537,                0.90659,                0.92657,                0.94703,                0.66327,                 1.0565,                0.54099,                 1.0237,               0.004753,               0.004753,               0.004753
                     55,                0.92825,                0.51892,                0.95873,                0.91405,                0.92818,                0.94895,                0.67268,                 1.0289,                0.52296,                 1.0133,               0.004654,               0.004654,               0.004654
                     56,                0.94577,                 0.5131,                0.96109,                0.92055,                0.92719,                0.95166,                0.67696,                 1.0311,                0.52037,                 1.0165,               0.004555,               0.004555,               0.004555
                     57,                0.94005,                0.52115,                0.96318,                 0.9177,                0.93235,                0.95374,                0.68247,                   1.01,                0.50966,                 1.0054,               0.004456,               0.004456,               0.004456
                     58,                0.92038,                0.51256,                0.96144,                 0.9231,                0.92973,                0.95263,                0.68241,                 1.0051,                0.50748,                 1.0056,               0.004357,               0.004357,               0.004357
                     59,                0.91937,                0.50284,                0.95422,                0.92168,                0.92979,                0.95248,                0.67965,                 1.0209,                0.50859,                 1.0114,               0.004258,               0.004258,               0.004258
                     60,                0.91367,                0.50835,                0.95608,                0.92208,                0.92799,                0.95347,                0.68174,                 1.0184,                0.50635,                 1.0108,               0.004159,               0.004159,               0.004159
                     61,                0.91747,                 0.5022,                0.95636,                0.91677,                0.93382,                 0.9532,                0.68414,                 1.0056,                0.50501,                 1.0042,                0.00406,                0.00406,                0.00406
                     62,                0.90583,                  0.492,                0.95143,                0.91554,                0.92669,                0.95038,                0.67872,                 1.0142,                0.51117,                 1.0082,               0.003961,               0.003961,               0.003961
                     63,                0.90596,                0.49777,                0.95241,                 0.9199,                0.93444,                0.95266,                0.68409,                 1.0094,                0.50184,                 1.0067,               0.003862,               0.003862,               0.003862
                     64,                0.89718,                0.49312,                 0.9476,                0.91804,                 0.9345,                0.95406,                0.68647,                 1.0058,                0.50625,                 1.0062,               0.003763,               0.003763,               0.003763
                     65,                0.89789,                0.49033,                0.95182,                0.91703,                0.93972,                0.95641,                0.69307,                0.98781,                0.49617,                0.99908,               0.003664,               0.003664,               0.003664
                     66,                0.88321,                0.48938,                0.94552,                 0.9246,                0.93332,                0.95634,                0.69022,                0.99906,                 0.4949,                 1.0025,               0.003565,               0.003565,               0.003565
                     67,                0.87357,                0.47715,                0.94129,                0.92751,                0.93164,                0.95462,                 0.6918,                0.99592,                0.49598,                 1.0028,               0.003466,               0.003466,               0.003466
                     68,                0.88527,                0.48067,                0.93868,                0.92364,                0.93561,                0.95391,                0.69364,                0.98495,                0.49188,                0.99934,               0.003367,               0.003367,               0.003367
                     69,                0.88331,                0.48157,                0.94202,                0.92517,                 0.9323,                0.95367,                0.69267,                0.98243,                0.49177,                 0.9978,               0.003268,               0.003268,               0.003268
                     70,                 0.8703,                0.47582,                0.93571,                0.92342,                0.93411,                0.95517,                0.69201,                0.98801,                0.49227,                0.99947,               0.003169,               0.003169,               0.003169
                     71,                0.87013,                0.47562,                0.94444,                0.92612,                0.93554,                0.95561,                0.69409,                0.98561,                0.48641,                 0.9999,                0.00307,                0.00307,                0.00307
                     72,                0.85955,                0.46918,                0.93334,                0.92724,                0.93396,                0.95596,                 0.6982,                0.97532,                0.48594,                0.99691,               0.002971,               0.002971,               0.002971
                     73,                 0.8428,                0.46193,                 0.9296,                0.92476,                 0.9414,                0.95694,                0.70127,                0.96954,                0.48419,                0.99488,               0.002872,               0.002872,               0.002872
                     74,                0.83642,                0.46286,                 0.9278,                0.92619,                0.93754,                0.95769,                 0.7013,                0.97131,                0.48013,                0.99398,               0.002773,               0.002773,               0.002773
                     75,                0.86018,                0.46786,                0.93933,                0.92215,                0.94351,                 0.9581,                0.70028,                0.97225,                0.48135,                0.99413,               0.002674,               0.002674,               0.002674
                     76,                0.85214,                0.46275,                0.93429,                0.92614,                0.93833,                0.95876,                0.70156,                0.97049,                0.48044,                0.99371,               0.002575,               0.002575,               0.002575
                     77,                0.82318,                0.45493,                0.92439,                0.92283,                 0.9411,                0.95901,                0.69949,                0.97594,                0.48158,                 0.9952,               0.002476,               0.002476,               0.002476
                     78,                0.82838,                 0.4504,                0.92461,                 0.9244,                0.94382,                0.96008,                0.70291,                0.96566,                0.47689,                0.99023,               0.002377,               0.002377,               0.002377
                     79,                0.83263,                0.45685,                0.92642,                0.92573,                0.93917,                0.96007,                0.70326,                0.96818,                0.47812,                0.99181,               0.002278,               0.002278,               0.002278
                     80,                0.81867,                0.44633,                0.91944,                0.92556,                0.94001,                0.95975,                0.70411,                0.96411,                0.47525,                0.99032,               0.002179,               0.002179,               0.002179
                     81,                0.81923,                0.44534,                0.92125,                0.92569,                0.94432,                0.95963,                0.70275,                0.96577,                0.47549,                 0.9912,                0.00208,                0.00208,                0.00208
