                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3734,                0.81508,                 1.1178,                0.84014,                0.81281,                0.87022,                0.53716,                 1.3213,                0.76536,                 1.1256,               0.006634,               0.006634,               0.006634
                     37,                 1.3699,                0.81202,                 1.1154,                0.85506,                0.83454,                0.88388,                0.55328,                 1.3015,                0.74431,                 1.1158,               0.006535,               0.006535,               0.006535
                     38,                 1.3624,                0.81591,                 1.1149,                0.86218,                0.82782,                0.88981,                0.56015,                 1.2772,                0.73304,                 1.1098,               0.006436,               0.006436,               0.006436
                     39,                 1.3394,                0.79205,                 1.1107,                0.84612,                0.82986,                0.87988,                0.55323,                 1.2764,                0.74944,                 1.1076,               0.006337,               0.006337,               0.006337
                     40,                 1.3485,                0.79542,                  1.124,                0.84849,                0.84102,                0.88859,                 0.5609,                 1.2656,                0.72574,                 1.1055,               0.006238,               0.006238,               0.006238
                     41,                 1.3437,                0.79069,                 1.1052,                0.86117,                0.83807,                0.89412,                0.57553,                 1.2458,                0.71241,                 1.0951,               0.006139,               0.006139,               0.006139
                     42,                 1.3354,                0.78443,                 1.0989,                0.86679,                0.84255,                0.89371,                0.57278,                 1.2423,                0.70559,                 1.0955,                0.00604,                0.00604,                0.00604
                     43,                 1.3278,                0.78247,                 1.1101,                0.87476,                0.84048,                0.90061,                0.57824,                 1.2449,                0.70759,                 1.0959,               0.005941,               0.005941,               0.005941
                     44,                 1.3152,                0.77247,                 1.0955,                0.86332,                0.84999,                0.89913,                0.58167,                 1.2336,                0.69913,                 1.0897,               0.005842,               0.005842,               0.005842
                     45,                 1.3243,                0.77987,                 1.1067,                0.86492,                0.85269,                0.90016,                0.58188,                 1.2206,                0.69468,                 1.0864,               0.005743,               0.005743,               0.005743
                     46,                 1.3135,                0.76253,                 1.0917,                0.87531,                0.84811,                 0.9047,                 0.5909,                 1.2043,                0.68289,                 1.0796,               0.005644,               0.005644,               0.005644
                     47,                 1.3057,                0.76061,                 1.0927,                0.87846,                0.85498,                0.90598,                0.58951,                 1.2118,                0.68302,                 1.0823,               0.005545,               0.005545,               0.005545
                     48,                 1.2779,                0.74014,                 1.0781,                 0.8756,                0.85946,                0.90807,                0.59554,                 1.2079,                0.67624,                 1.0819,               0.005446,               0.005446,               0.005446
                     49,                 1.2828,                 0.7464,                 1.0767,                0.88598,                0.85889,                0.91116,                0.59354,                 1.2063,                0.67169,                 1.0783,               0.005347,               0.005347,               0.005347
                     50,                 1.2893,                 0.7486,                 1.0782,                0.88008,                0.85712,                0.90771,                0.59395,                 1.2032,                0.67725,                 1.0794,               0.005248,               0.005248,               0.005248
                     51,                 1.2774,                0.74959,                 1.0844,                0.87877,                0.86472,                0.90799,                0.59766,                 1.1933,                0.66867,                 1.0765,               0.005149,               0.005149,               0.005149
                     52,                 1.2853,                0.74279,                 1.0858,                0.88949,                0.85387,                0.91435,                0.60714,                 1.1852,                0.66223,                 1.0702,                0.00505,                0.00505,                0.00505
                     53,                 1.2919,                0.74363,                 1.0883,                 0.8846,                 0.8619,                0.91209,                0.60204,                 1.1883,                0.65993,                 1.0728,               0.004951,               0.004951,               0.004951
                     54,                 1.2572,                0.72516,                 1.0741,                0.89543,                0.86693,                0.91863,                0.61102,                 1.1728,                0.64726,                 1.0687,               0.004852,               0.004852,               0.004852
                     55,                 1.2614,                0.72111,                 1.0779,                0.89401,                   0.87,                0.91869,                0.61491,                 1.1653,                0.64242,                 1.0645,               0.004753,               0.004753,               0.004753
                     56,                 1.2482,                0.71665,                 1.0755,                0.89536,                0.86719,                0.91871,                0.61566,                 1.1547,                0.64139,                 1.0609,               0.004654,               0.004654,               0.004654
                     57,                 1.2474,                0.71813,                 1.0818,                0.88415,                0.87249,                0.91561,                0.61325,                 1.1556,                0.64501,                 1.0599,               0.004555,               0.004555,               0.004555
