epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
186,24857.9,0.5506,0.4933,0.09643,0.8798,0.89073,0.91213,0.57104,0.43092,0.45453,0.09711,0.0008425,0.0008425,0.0008425
187,24992.9,0.49124,0.48448,0.08776,0.88065,0.88908,0.9121,0.57188,0.43002,0.45434,0.09701,0.000793,0.000793,0.000793
188,25126.9,0.49782,0.48333,0.08882,0.88259,0.88915,0.91279,0.57324,0.4289,0.45435,0.09694,0.0007435,0.0007435,0.0007435
189,25266.3,0.49926,0.4853,0.09145,0.88249,0.88948,0.91243,0.57309,0.42869,0.45438,0.09687,0.000694,0.000694,0.000694
190,25399.5,0.51326,0.4851,0.092,0.88326,0.88909,0.91259,0.57304,0.42841,0.45449,0.09667,0.0006445,0.0006445,0.0006445
191,25532,0.42632,0.47051,0.08363,0.88203,0.89162,0.91294,0.57362,0.42794,0.45407,0.09658,0.000595,0.000595,0.000595
192,25669.7,0.42062,0.4623,0.08304,0.88198,0.89274,0.9138,0.57411,0.42711,0.45392,0.0965,0.0005455,0.0005455,0.0005455
193,25811.4,0.41158,0.4573,0.0828,0.88393,0.8899,0.91385,0.57479,0.42665,0.45345,0.09634,0.000496,0.000496,0.000496
194,25948.8,0.4173,0.45673,0.08269,0.88344,0.89178,0.91431,0.5755,0.42611,0.45326,0.09623,0.0004465,0.0004465,0.0004465
195,26079.2,0.40662,0.45234,0.08173,0.88412,0.8905,0.91451,0.57598,0.42558,0.45318,0.09611,0.000397,0.000397,0.000397
196,26213.9,0.41314,0.45268,0.0813,0.884,0.89095,0.91471,0.5765,0.42526,0.45311,0.09601,0.0003475,0.0003475,0.0003475
197,26346.7,0.41309,0.45473,0.08141,0.88394,0.89146,0.91469,0.57689,0.42458,0.45301,0.09589,0.000298,0.000298,0.000298
198,26484.6,0.41088,0.45503,0.08225,0.88281,0.89209,0.91484,0.57774,0.42402,0.4526,0.09574,0.0002485,0.0002485,0.0002485
199,26620.4,0.4005,0.44529,0.07857,0.88295,0.89269,0.91527,0.57845,0.42353,0.45203,0.09574,0.000199,0.000199,0.000199
200,26752.1,0.40644,0.44263,0.08068,0.8841,0.8914,0.91575,0.57862,0.42287,0.45162,0.09557,0.0001495,0.0001495,0.0001495
