epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,5746.79,0.86796,0.60477,0.16594,0.69825,0.69188,0.71728,0.35327,0.58449,0.62151,0.14207,0.007921,0.007921,0.007921
44,5885.03,0.83769,0.61115,0.16384,0.70064,0.67768,0.71224,0.34818,0.58466,0.63745,0.14377,0.0078715,0.0078715,0.0078715
45,6018.21,0.84043,0.60422,0.1639,0.71281,0.69729,0.7279,0.33728,0.60332,0.61511,0.14413,0.007822,0.007822,0.007822
46,6153.04,0.87252,0.59773,0.16927,0.70987,0.69963,0.72883,0.36171,0.57725,0.63811,0.14209,0.0077725,0.0077725,0.0077725
47,6287.77,0.86219,0.59978,0.16746,0.71791,0.70768,0.7357,0.36072,0.58532,0.61314,0.14061,0.007723,0.007723,0.007723
48,6418.49,0.83577,0.60835,0.16226,0.7162,0.69668,0.73014,0.3508,0.59537,0.61998,0.14068,0.0076735,0.0076735,0.0076735
49,6552.97,0.83093,0.59914,0.16197,0.73405,0.71818,0.75843,0.37928,0.57038,0.60161,0.13776,0.007624,0.007624,0.007624
50,6692.99,0.82707,0.60218,0.16164,nan,0.92958,0.75963,0.38513,nan,nan,nan,0.0075745,0.0075745,0.0075745
51,6832.56,0.8081,0.60401,0.15634,0.75449,0.73214,0.77693,0.39806,0.55626,0.59646,0.1346,0.007525,0.007525,0.007525
52,6969.22,0.86572,0.58251,0.162,0.73945,0.73474,0.77161,0.39189,0.55922,0.58896,0.13544,0.0074755,0.0074755,0.0074755
53,7101.07,0.85008,0.60445,0.16539,0.74373,0.71301,0.7608,0.38948,0.55931,0.61521,0.13501,0.007426,0.007426,0.007426
54,7234.64,0.82943,0.59241,0.16179,0.73832,0.72582,0.76875,0.3958,0.55421,0.58322,0.13343,0.0073765,0.0073765,0.0073765
55,7368.79,0.82511,0.58865,0.15785,0.7598,0.74486,0.7853,0.40247,0.55252,0.58194,0.13317,0.007327,0.007327,0.007327
56,7509.47,0.79691,0.60535,0.1546,0.76724,0.75459,0.79709,0.42336,0.53528,0.58229,0.12942,0.0072775,0.0072775,0.0072775
57,7645.03,0.79762,0.59254,0.15423,0.77339,0.75639,0.796,0.41713,0.54204,0.58388,0.13056,0.007228,0.007228,0.007228
58,7774.82,0.77623,0.59223,0.14936,0.7841,0.75852,0.8056,0.43239,0.53174,0.56924,0.12844,0.0071785,0.0071785,0.0071785
59,7909.95,0.89176,0.55084,0.16486,0.7748,0.76698,0.80425,0.41097,0.55915,0.55859,0.13141,0.007129,0.007129,0.007129
60,8042.65,0.93672,0.54765,0.17028,0.7682,0.76755,0.79868,0.41757,0.54603,0.57391,0.13026,0.0070795,0.0070795,0.0070795
61,8177.47,0.82214,0.57809,0.15588,0.78954,0.77489,0.81229,0.43101,0.53519,0.56221,0.12889,0.00703,0.00703,0.00703
62,8311.32,0.83905,0.5716,0.15801,0.79253,0.76912,0.81255,0.43544,0.52723,0.57305,0.12601,0.0069805,0.0069805,0.0069805
63,8443.03,0.77703,0.58202,0.14538,0.79372,0.78316,0.82425,0.45157,0.52053,0.55433,0.12425,0.006931,0.006931,0.006931
64,8578.96,0.82324,0.57637,0.15389,0.78888,0.7902,0.82328,0.44286,0.52283,0.55818,0.12514,0.0068815,0.0068815,0.0068815
65,8714.32,0.77694,0.58402,0.1452,0.79605,0.78345,0.81899,0.44296,0.52337,0.56192,0.1242,0.006832,0.006832,0.006832
66,8848.59,0.75576,0.58507,0.14472,0.80895,0.78283,0.82722,0.45576,0.51428,0.56183,0.12274,0.0067825,0.0067825,0.0067825
67,8986.99,0.80356,0.57101,0.14668,0.80588,0.79737,0.8314,0.46089,0.51086,0.54561,0.12141,0.006733,0.006733,0.006733
68,9119.67,0.84589,0.56848,0.1552,0.81207,0.79497,0.83371,0.46052,0.50817,0.53972,0.12068,0.0066835,0.0066835,0.0066835
69,9252.2,0.78549,0.57928,0.14507,0.81234,0.79875,0.83687,0.46122,0.51513,0.54717,0.12187,0.006634,0.006634,0.006634
70,9387.92,0.76349,0.57371,0.13989,0.80594,0.806,0.83982,0.46507,0.50924,0.54266,0.11992,0.0065845,0.0065845,0.0065845
71,9530.76,0.82323,0.56853,0.15006,0.80644,0.80476,0.84106,0.46532,0.50596,0.53869,0.12007,0.006535,0.006535,0.006535
72,9668.51,0.82134,0.56696,0.15152,0.80695,0.80348,0.84283,0.46759,0.50631,0.54335,0.11989,0.0064855,0.0064855,0.0064855
73,9799.35,0.7922,0.56755,0.14587,0.81616,0.80815,0.84864,0.47522,0.50351,0.52802,0.11813,0.006436,0.006436,0.006436
74,9935.3,0.89481,0.54359,0.15856,0.80159,0.80548,0.83577,0.45024,0.53093,0.5349,0.12001,0.0063865,0.0063865,0.0063865
75,10070.6,0.83746,0.55303,0.14981,0.81213,0.81334,0.84587,0.47462,0.50147,0.53367,0.11781,0.006337,0.006337,0.006337
76,10205.2,0.80521,0.56908,0.14704,0.81849,0.81265,0.84514,0.45678,0.5152,0.52923,0.11785,0.0062875,0.0062875,0.0062875
77,10338.3,0.7672,0.56985,0.13976,0.82658,0.81902,0.85548,0.48844,0.49113,0.52995,0.11477,0.006238,0.006238,0.006238
78,10466.4,0.76943,0.56047,0.14202,0.82732,0.82479,0.85848,0.48028,0.50305,0.52382,0.11602,0.0061885,0.0061885,0.0061885
79,10599,0.8372,0.54728,0.1448,0.82547,0.82578,0.86021,0.49369,0.48588,0.5191,0.11299,0.006139,0.006139,0.006139
80,10733.4,0.82631,0.55227,0.14919,0.83153,0.82385,0.85805,0.47775,0.50704,0.51552,0.11565,0.0060895,0.0060895,0.0060895
81,10871,0.94452,0.53929,0.1731,0.80723,0.78801,0.81964,0.36017,0.64887,0.52679,0.12987,0.00604,0.00604,0.00604
82,11005,0.84082,0.54043,0.14817,0.81884,0.81549,0.84571,0.44232,0.54695,0.52992,0.12023,0.0059905,0.0059905,0.0059905
83,11131.6,0.74283,0.565,0.13552,0.82709,0.82674,0.85997,0.49723,0.48392,0.52082,0.11283,0.005941,0.005941,0.005941
84,11268,0.87104,0.54143,0.14842,0.82105,0.83312,0.8591,0.48365,0.49924,0.52144,0.11394,0.0058915,0.0058915,0.0058915
85,11405.8,0.79394,0.56752,0.14034,0.81835,0.83203,0.85844,0.48842,0.48819,0.53207,0.11268,0.005842,0.005842,0.005842
86,11541.3,0.73105,0.5538,0.1346,0.82599,0.83641,0.86448,0.49148,0.48896,0.51798,0.11282,0.0057925,0.0057925,0.0057925
87,11674.1,0.7497,0.5562,0.13808,0.83343,0.84097,0.86989,0.49728,0.4865,0.50894,0.11183,0.005743,0.005743,0.005743
88,11799.7,0.80786,0.54593,0.14084,0.8395,0.83922,0.87072,0.50214,0.48232,0.50136,0.11151,0.0056935,0.0056935,0.0056935
89,11937.6,0.9055,0.52942,0.15902,0.83739,0.84228,0.8719,0.50313,0.48103,0.50115,0.11106,0.005644,0.005644,0.005644
90,12074.1,0.96336,0.50662,0.16653,0.82169,0.80264,0.84121,0.38291,0.6108,0.50781,0.12441,0.0055945,0.0055945,0.0055945
91,12210,0.73833,0.54962,0.13371,0.83609,0.8427,0.87178,0.47075,0.51652,0.50408,0.11521,0.005545,0.005545,0.005545
92,12343.6,0.86325,0.52036,0.15175,0.83049,0.83096,0.85606,0.39218,0.6083,0.50994,0.12378,0.0054955,0.0054955,0.0054955
93,12468.8,0.96446,0.512,0.16209,0.83355,0.81688,0.85072,0.419,0.56575,0.51071,0.11891,0.005446,0.005446,0.005446
94,12601.9,0.71374,0.55498,0.12922,0.84408,0.84448,0.87467,0.50091,0.48627,0.50055,0.11027,0.0053965,0.0053965,0.0053965
95,12735.2,0.78585,0.53929,0.14008,0.84787,0.85049,0.88162,0.52151,0.46469,0.49274,0.10752,0.005347,0.005347,0.005347
96,12873.2,0.84599,0.52983,0.14054,0.84502,0.8535,0.87735,0.51135,0.47265,0.49464,0.10783,0.0052975,0.0052975,0.0052975
97,13006.2,0.77924,0.53898,0.13315,0.8476,0.85231,0.87715,0.49979,0.49037,0.49767,0.10923,0.005248,0.005248,0.005248
98,13135.4,0.91478,0.50942,0.1516,0.85019,0.84738,0.87616,0.51102,0.47459,0.4901,0.10663,0.0051985,0.0051985,0.0051985
99,13268.4,0.99928,0.49108,0.16107,0.84654,0.84872,0.87487,0.49998,0.48486,0.49575,0.10896,0.005149,0.005149,0.005149
100,13403.8,0.74234,0.54385,0.12937,0.84198,0.84911,0.87429,0.47838,0.51353,0.49599,0.11148,0.0050995,0.0050995,0.0050995
101,13538.1,0.69792,0.55037,0.12723,0.84557,0.85581,0.88112,0.51437,0.47131,0.49233,0.10665,0.00505,0.00505,0.00505
102,13670.4,0.7377,0.53733,0.13119,0.85272,0.85466,0.88436,0.52612,0.45832,0.48943,0.10488,0.0050005,0.0050005,0.0050005
103,13803.2,0.84217,0.50945,0.14361,0.8523,0.85781,0.88625,0.53173,0.45286,0.48704,0.10395,0.004951,0.004951,0.004951
104,13938.1,0.90184,0.52074,0.15367,0.85119,0.8572,0.88576,0.52583,0.46364,0.49212,0.10542,0.0049015,0.0049015,0.0049015
105,14071.9,0.67256,0.54871,0.12161,0.86047,0.8592,0.88661,0.52352,0.4716,0.49317,0.10599,0.004852,0.004852,0.004852
106,14208.5,0.70329,0.53923,0.12437,0.8579,0.85988,0.88979,0.52846,0.46757,0.49058,0.10543,0.0048025,0.0048025,0.0048025
107,14342.7,0.9323,0.50412,0.16039,0.85641,0.86464,0.89125,0.53851,0.4509,0.484,0.10357,0.004753,0.004753,0.004753
108,14477.6,0.94464,0.49072,0.16272,0.84918,0.86128,0.88838,0.5247,0.46692,0.48389,0.1067,0.0047035,0.0047035,0.0047035
109,14608.6,0.69454,0.54845,0.13018,0.85255,0.85971,0.89029,0.51629,0.47765,0.48672,0.10881,0.004654,0.004654,0.004654
110,14742.1,0.64421,0.54284,0.11742,0.85273,0.86337,0.89187,0.5202,0.47253,0.48675,0.10755,0.0046045,0.0046045,0.0046045
111,14876.4,0.64382,0.53629,0.1193,0.85528,0.86775,0.89459,0.53504,0.45953,0.48286,0.10552,0.004555,0.004555,0.004555
112,15012.6,0.67702,0.53187,0.12226,0.85694,0.86912,0.8969,0.54151,0.45081,0.48018,0.10353,0.0045055,0.0045055,0.0045055
113,15146.8,0.80267,0.51486,0.13475,0.85815,0.873,0.89766,0.54293,0.45034,0.47972,0.1032,0.004456,0.004456,0.004456
114,15279.5,0.85626,0.51319,0.1556,0.8576,0.87548,0.89705,0.54661,0.44479,0.47879,0.10237,0.0044065,0.0044065,0.0044065
115,15417.4,0.99198,0.46571,0.17259,0.85411,0.87647,0.89737,0.54591,0.44441,0.47662,0.10192,0.004357,0.004357,0.004357
116,15550.5,0.93369,0.48475,0.16689,0.85592,0.8742,0.89695,0.54184,0.44861,0.47698,0.10265,0.0043075,0.0043075,0.0043075
117,15685.9,0.88834,0.50392,0.1576,0.85589,0.87738,0.89578,0.5413,0.4494,0.47661,0.10262,0.004258,0.004258,0.004258
