epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
182,18836.1,0.58823,0.45364,0.08366,0.87468,0.86257,0.87213,0.40396,0.62005,0.47105,0.10345,0.0010405,0.0010405,0.0010405
183,18935.4,0.53412,0.46413,0.08104,0.8721,0.86761,0.8742,0.40784,0.6148,0.4714,0.10301,0.000991,0.000991,0.000991
184,19035.3,0.49084,0.44283,0.07161,0.87191,0.8707,0.87506,0.41152,0.60903,0.47066,0.10267,0.0009415,0.0009415,0.0009415
185,19136.8,0.62657,0.43966,0.08156,0.87052,0.87808,0.87836,0.42468,0.59118,0.46802,0.10155,0.000892,0.000892,0.000892
186,19236.7,0.92383,0.43422,0.12216,0.86777,0.88786,0.88293,0.44224,0.56861,0.46491,0.09977,0.0008425,0.0008425,0.0008425
187,19337,0.74552,0.44382,0.09199,0.87006,0.88864,0.88455,0.44587,0.56536,0.46425,0.09944,0.000793,0.000793,0.000793
188,19437.6,0.91233,0.4444,0.11691,0.87001,0.88842,0.88371,0.44505,0.56756,0.46449,0.09954,0.0007435,0.0007435,0.0007435
189,19538.1,0.68884,0.44607,0.08601,0.87332,0.88806,0.88502,0.44644,0.56664,0.4633,0.09945,0.000694,0.000694,0.000694
190,19638.7,0.72765,0.44722,0.09442,0.8729,0.89244,0.88724,0.45516,0.55708,0.46244,0.09868,0.0006445,0.0006445,0.0006445
191,19741.2,0.96808,0.48308,0.12759,0.87399,0.89067,0.88631,0.45239,0.5604,0.4625,0.09892,0.000595,0.000595,0.000595
192,19841.1,1.11843,0.49797,0.16715,0.87096,0.88405,0.88257,0.43909,0.57846,0.46504,0.10029,0.0005455,0.0005455,0.0005455
193,19940.8,0.77244,0.53442,0.11182,0.86954,0.87866,0.87907,0.42978,0.59081,0.46604,0.10115,0.000496,0.000496,0.000496
194,20041.5,0.74794,0.4905,0.09902,0.86847,0.87731,0.87754,0.42689,0.59558,0.46595,0.10157,0.0004465,0.0004465,0.0004465
195,20141.6,0.87078,0.4838,0.12153,0.86982,0.86517,0.87288,0.4174,0.60804,0.46658,0.10246,0.000397,0.000397,0.000397
196,20241.2,0.90887,0.42985,0.11746,0.86689,0.85974,0.86864,0.40925,0.61905,0.46721,0.10322,0.0003475,0.0003475,0.0003475
197,20340.5,0.57648,0.48888,0.07566,0.86755,0.85467,0.86651,0.40579,0.62453,0.46757,0.10361,0.000298,0.000298,0.000298
198,20440.6,0.61325,0.44124,0.08019,0.86899,0.85251,0.86514,0.40404,0.62767,0.46799,0.10376,0.0002485,0.0002485,0.0002485
199,20540.4,0.56299,0.43294,0.0727,0.86967,0.84968,0.86298,0.40189,0.6315,0.46849,0.10405,0.000199,0.000199,0.000199
200,20639.5,0.48729,0.42393,0.06738,0.86906,0.84952,0.8635,0.40276,0.63049,0.46888,0.10391,0.0001495,0.0001495,0.0001495
