epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4338.97,0.89937,0.49725,0.14848,0.82598,0.84502,0.84937,0.40902,0.58885,0.50341,0.12393,0.0079705,0.0079705,0.0079705
43,4441.92,0.84833,0.5251,0.14035,0.81181,0.83037,0.84099,0.42827,0.54392,0.52139,0.11876,0.007921,0.007921,0.007921
44,4548.51,0.8704,0.506,0.14295,0.79879,0.83524,0.82816,0.3919,0.57906,0.51645,0.1213,0.0078715,0.0078715,0.0078715
45,4653.43,0.87244,0.50689,0.1435,0.8129,0.83213,0.8398,0.42777,0.55774,0.5145,0.12218,0.007822,0.007822,0.007822
46,4756.96,0.87727,0.50174,0.1447,0.80335,0.84005,0.83552,0.42068,0.56412,0.50526,0.11813,0.0077725,0.0077725,0.0077725
47,4862.4,0.8513,0.51299,0.13967,0.82331,0.84955,0.85499,0.452,0.52533,0.51109,0.11656,0.007723,0.007723,0.007723
48,4971.49,0.8387,0.51004,0.13844,0.82052,0.82426,0.84181,0.43736,0.53018,0.51368,0.11802,0.0076735,0.0076735,0.0076735
49,5075.52,0.86332,0.49648,0.14052,0.83299,0.85477,0.86055,0.46133,0.50968,0.50847,0.1143,0.007624,0.007624,0.007624
50,5181.37,0.86024,0.50372,0.14041,0.82696,0.84284,0.85293,0.44227,0.53904,0.50303,0.11443,0.0075745,0.0075745,0.0075745
51,5285.32,0.85483,0.50749,0.13914,0.82678,0.84663,0.85734,0.46034,0.51179,0.5032,0.11395,0.007525,0.007525,0.007525
52,5388.89,0.83281,0.50243,0.13396,0.83024,0.86776,0.86477,0.46134,0.51905,0.49498,0.11146,0.0074755,0.0074755,0.0074755
53,5495.35,0.86024,0.51357,0.14205,0.81017,0.80844,0.82562,0.41386,0.56576,0.52669,0.117,0.007426,0.007426,0.007426
54,5597.24,0.8618,0.50969,0.14292,0.83372,0.86497,0.86645,0.4899,0.48818,0.50917,0.10975,0.0073765,0.0073765,0.0073765
