                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3808,                0.82141,                 1.1172,                0.84804,                0.83229,                0.88497,                0.55141,                 1.3106,                 0.7508,                  1.121,               0.006535,               0.006535,               0.006535
                     37,                  1.383,                0.81724,                 1.1159,                0.85111,                  0.832,                0.88371,                0.55135,                 1.3031,                0.75165,                 1.1162,               0.006436,               0.006436,               0.006436
                     38,                 1.3775,                0.80861,                 1.1183,                0.85486,                0.84143,                0.89324,                0.57009,                 1.2668,                0.72482,                 1.1009,               0.006337,               0.006337,               0.006337
                     39,                 1.3646,                0.79519,                 1.1054,                0.85992,                 0.8344,                0.88891,                0.56047,                 1.2869,                0.72255,                 1.1103,               0.006238,               0.006238,               0.006238
                     40,                 1.3553,                0.78927,                 1.1054,                 0.8534,                0.84057,                0.89027,                0.56109,                 1.2848,                0.73608,                 1.1085,               0.006139,               0.006139,               0.006139
                     41,                  1.349,                0.78011,                  1.107,                0.86125,                0.84061,                0.89658,                0.57469,                 1.2551,                0.71731,                  1.098,                0.00604,                0.00604,                0.00604
                     42,                 1.3443,                0.77168,                  1.102,                0.85887,                0.84065,                0.89384,                0.57124,                 1.2654,                0.72434,                 1.1014,               0.005941,               0.005941,               0.005941
                     43,                 1.3406,                0.77035,                 1.0969,                0.85802,                0.85811,                0.89901,                0.57489,                 1.2588,                0.72037,                 1.0969,               0.005842,               0.005842,               0.005842
                     44,                 1.3329,                0.75997,                 1.0958,                0.85847,                0.85568,                0.89961,                0.57578,                 1.2541,                0.71356,                 1.0948,               0.005743,               0.005743,               0.005743
                     45,                 1.3174,                0.75724,                 1.0913,                0.87236,                0.85652,                0.90662,                0.58643,                 1.2302,                0.67872,                 1.0871,               0.005644,               0.005644,               0.005644
                     46,                 1.3261,                0.76174,                 1.0978,                0.86609,                0.87035,                0.90452,                0.58885,                 1.2283,                 0.6801,                 1.0853,               0.005545,               0.005545,               0.005545
                     47,                 1.3197,                0.75045,                 1.0916,                0.87002,                0.85967,                0.90375,                 0.5893,                  1.228,                0.68182,                 1.0849,               0.005446,               0.005446,               0.005446
                     48,                 1.3051,                0.74887,                 1.0869,                0.87293,                0.85591,                 0.9017,                0.58488,                 1.2275,                0.68447,                 1.0874,               0.005347,               0.005347,               0.005347
                     49,                 1.3004,                0.73815,                 1.0839,                0.87247,                0.86491,                0.90696,                0.59472,                 1.2168,                0.67791,                 1.0835,               0.005248,               0.005248,               0.005248
                     50,                 1.2985,                0.73285,                 1.0848,                0.87268,                0.86658,                0.90676,                0.59562,                 1.2068,                0.67906,                 1.0779,               0.005149,               0.005149,               0.005149
                     51,                 1.3023,                0.73837,                  1.089,                0.87375,                0.87436,                0.90925,                0.59827,                 1.1968,                0.66882,                 1.0748,                0.00505,                0.00505,                0.00505
                     52,                 1.2807,                0.72619,                 1.0767,                0.87726,                0.87465,                0.91211,                0.60126,                  1.197,                0.65725,                 1.0732,               0.004951,               0.004951,               0.004951
                     53,                 1.2866,                0.72228,                 1.0773,                0.87769,                0.86799,                0.90991,                 0.5996,                  1.197,                0.66893,                 1.0736,               0.004852,               0.004852,               0.004852
                     54,                 1.2761,                0.71809,                 1.0747,                0.88461,                0.87153,                0.91388,                 0.6033,                 1.1891,                0.65111,                 1.0679,               0.004753,               0.004753,               0.004753
                     55,                 1.2612,                0.71285,                 1.0677,                0.88122,                0.87324,                0.91397,                0.60744,                 1.1821,                0.64956,                 1.0682,               0.004654,               0.004654,               0.004654
                     56,                 1.2631,                 0.7114,                 1.0705,                0.88027,                0.87412,                0.91454,                0.60575,                 1.1864,                0.65021,                 1.0709,               0.004555,               0.004555,               0.004555
                     57,                 1.2597,                0.70433,                  1.069,                0.88839,                0.87421,                0.91763,                0.61133,                 1.1773,                0.63936,                 1.0679,               0.004456,               0.004456,               0.004456
                     58,                  1.257,                0.70512,                  1.071,                0.88539,                0.87321,                 0.9185,                0.61348,                 1.1706,                0.63569,                 1.0637,               0.004357,               0.004357,               0.004357
                     59,                 1.2572,                0.70157,                 1.0675,                0.88533,                0.87406,                0.91755,                0.61431,                  1.168,                0.63502,                  1.063,               0.004258,               0.004258,               0.004258
                     60,                  1.251,                0.69574,                 1.0689,                0.89141,                0.88021,                0.92145,                0.61899,                  1.157,                0.62162,                 1.0584,               0.004159,               0.004159,               0.004159
