epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.684,5.37079,4.75651,3.73925,0,0,0,0,6.36236,4.5779,4.34931,0.000465748,0.000465748,0.000465748
2,266.656,2.95183,2.97028,2.13254,0.00447,0.04765,0.0125,0.00573,4.61284,4.37099,3.6773,0.000937418,0.000937418,0.000937418
3,283.885,2.43552,2.54763,1.74176,0.24825,0.23234,0.16919,0.07551,2.15357,2.39596,1.59234,0.00140437,0.00140437,0.00140437
4,300.484,2.32511,2.45036,1.62233,0.23627,0.30969,0.23423,0.10471,2.04496,2.03925,1.49629,0.00140778,0.00140778,0.00140778
5,316.861,2.23555,2.34729,1.55902,0.32853,0.37188,0.29151,0.1368,1.92785,1.9646,1.4173,0.00140071,0.00140071,0.00140071
6,332.946,2.21708,2.30764,1.52977,0.29382,0.31958,0.25164,0.12095,2.00929,2.02653,1.45545,0.00139363,0.00139363,0.00139363
7,349.008,2.17252,2.25837,1.51437,0.43792,0.36576,0.34099,0.15209,1.99601,1.93712,1.4346,0.00138656,0.00138656,0.00138656
8,365.31,2.17873,2.24085,1.50468,0.39123,0.44985,0.368,0.16402,1.90271,1.9555,1.38794,0.00137949,0.00137949,0.00137949
9,381.449,2.16215,2.18247,1.47042,0.40555,0.36315,0.34769,0.16627,1.86874,1.86789,1.37372,0.00137241,0.00137241,0.00137241
10,397.596,2.13301,2.17462,1.49186,0.48698,0.41637,0.40378,0.1899,1.85555,1.76743,1.37096,0.00136534,0.00136534,0.00136534
11,414,2.14018,2.2515,1.49279,0.44575,0.42431,0.38813,0.1771,1.92678,1.82398,1.40185,0.00135826,0.00135826,0.00135826
12,430.065,2.10181,2.09124,1.46709,0.54204,0.4627,0.47709,0.22097,1.84561,1.59009,1.35283,0.00135119,0.00135119,0.00135119
13,446.259,2.08004,2.08427,1.44508,0.48662,0.47407,0.44686,0.21037,1.83002,1.80043,1.34618,0.00134412,0.00134412,0.00134412
14,462.472,2.07214,2.03992,1.41535,0.51621,0.45681,0.4587,0.21582,1.81763,1.62884,1.3419,0.00133704,0.00133704,0.00133704
15,478.776,2.09165,2.01962,1.41153,0.50653,0.44194,0.44178,0.20247,1.89524,1.68081,1.38329,0.00132997,0.00132997,0.00132997
16,494.881,2.05811,2.06649,1.43037,0.51127,0.47649,0.47509,0.22606,1.81201,1.64599,1.33753,0.0013229,0.0013229,0.0013229
17,511.024,1.98004,1.97004,1.38281,0.5273,0.47369,0.4877,0.23819,1.77643,1.54336,1.31984,0.00131582,0.00131582,0.00131582
18,527.894,2.04406,1.98714,1.38103,0.55481,0.49098,0.49941,0.23408,1.80432,1.58439,1.31853,0.00130875,0.00130875,0.00130875
19,544.1,2.04198,1.99035,1.38892,0.50517,0.42384,0.43634,0.21335,1.84382,1.72147,1.35249,0.00130168,0.00130168,0.00130168
20,559.954,2.05495,2.01954,1.42092,0.54033,0.46537,0.47523,0.21952,1.86441,1.56732,1.36329,0.0012946,0.0012946,0.0012946
21,576.21,2.03422,2.02591,1.41761,0.54115,0.5083,0.50237,0.24465,1.76354,1.52785,1.29727,0.00128753,0.00128753,0.00128753
22,592.387,2.00765,1.95443,1.37367,0.56352,0.49244,0.51725,0.25235,1.75895,1.57745,1.29743,0.00128046,0.00128046,0.00128046
23,608.747,1.99186,1.93197,1.36915,0.54328,0.49159,0.50141,0.24509,1.77448,1.53141,1.30937,0.00127338,0.00127338,0.00127338
24,624.72,2.04151,1.97066,1.38211,0.57379,0.51491,0.53892,0.26397,1.76197,1.4924,1.29695,0.00126631,0.00126631,0.00126631
25,640.845,2.03251,1.9416,1.37658,0.57423,0.5074,0.5368,0.26938,1.75073,1.49086,1.29065,0.00125923,0.00125923,0.00125923
26,656.882,2.00866,1.89681,1.36058,0.54894,0.5314,0.51243,0.2485,1.79002,1.53811,1.30914,0.00125216,0.00125216,0.00125216
27,672.832,1.98499,1.90559,1.35329,0.57537,0.50867,0.53756,0.26266,1.74684,1.51172,1.2821,0.00124509,0.00124509,0.00124509
28,688.643,1.99122,1.93531,1.36513,0.62384,0.50509,0.55348,0.27911,1.7183,1.46783,1.27036,0.00123801,0.00123801,0.00123801
29,704.896,1.97307,1.9424,1.38854,0.57163,0.49194,0.52238,0.25754,1.75885,1.54408,1.2856,0.00123094,0.00123094,0.00123094
30,720.85,1.97505,1.90661,1.35733,0.57517,0.50967,0.52436,0.25952,1.7227,1.52899,1.27346,0.00122387,0.00122387,0.00122387
31,736.745,1.95862,1.88445,1.32773,0.60167,0.53853,0.56282,0.27756,1.72963,1.43869,1.26686,0.00121679,0.00121679,0.00121679
32,752.576,1.93266,1.83225,1.32437,0.57958,0.53701,0.55492,0.27643,1.72831,1.44706,1.26449,0.00120972,0.00120972,0.00120972
33,768.709,1.94966,1.86539,1.33877,0.61963,0.503,0.5592,0.28457,1.71175,1.47262,1.25559,0.00120265,0.00120265,0.00120265
34,784.627,1.96664,1.91546,1.34588,0.58691,0.52601,0.55594,0.27929,1.73399,1.47222,1.26852,0.00119557,0.00119557,0.00119557
35,800.538,1.94746,1.84906,1.33824,0.62025,0.53261,0.56763,0.2849,1.72173,1.47985,1.25836,0.0011885,0.0011885,0.0011885
36,816.445,1.93295,1.81386,1.30503,0.61076,0.55132,0.57729,0.28605,1.6994,1.51391,1.24549,0.00118143,0.00118143,0.00118143
37,832.799,1.96227,1.91475,1.33317,0.5632,0.52559,0.54432,0.26661,1.71376,1.50227,1.25656,0.00117435,0.00117435,0.00117435
38,848.782,1.93763,1.86035,1.31847,0.56789,0.53904,0.56441,0.28441,1.70973,1.43395,1.25222,0.00116728,0.00116728,0.00116728
39,865.073,1.93819,1.81945,1.32042,0.63731,0.54358,0.58792,0.29279,1.70307,1.41704,1.24691,0.00116021,0.00116021,0.00116021
40,881.351,1.93992,1.83477,1.3161,0.57152,0.54591,0.5678,0.28667,1.71841,1.44409,1.24754,0.00115313,0.00115313,0.00115313
41,897.32,1.95589,1.85931,1.32271,0.65443,0.53306,0.60234,0.30221,1.69838,1.42182,1.2448,0.00114606,0.00114606,0.00114606
42,913.415,1.91166,1.82969,1.31237,0.61067,0.55633,0.59335,0.29775,1.70181,1.45144,1.24771,0.00113898,0.00113898,0.00113898
43,929.3,1.89541,1.73868,1.282,0.60543,0.53832,0.58039,0.28749,1.74231,1.45089,1.26635,0.00113191,0.00113191,0.00113191
44,945.128,1.91421,1.82094,1.32008,0.592,0.57,0.57758,0.29041,1.69127,1.44523,1.23986,0.00112484,0.00112484,0.00112484
45,961.184,1.91407,1.80006,1.30246,0.62632,0.56031,0.60743,0.30739,1.68956,1.37369,1.24263,0.00111776,0.00111776,0.00111776
46,977.479,1.89018,1.73013,1.2879,0.64327,0.56879,0.61059,0.30769,1.68218,1.40146,1.23739,0.00111069,0.00111069,0.00111069
47,993.65,1.93524,1.84271,1.30819,0.63298,0.58405,0.62448,0.3193,1.68118,1.32529,1.23583,0.00110362,0.00110362,0.00110362
48,1009.77,1.91699,1.78023,1.28369,0.63653,0.56577,0.6147,0.31158,1.69499,1.36471,1.24211,0.00109654,0.00109654,0.00109654
49,1025.71,1.90498,1.82079,1.32668,0.62624,0.57368,0.61544,0.31485,1.67951,1.37743,1.23568,0.00108947,0.00108947,0.00108947
50,1041.4,1.90205,1.75433,1.29982,0.67384,0.5407,0.60391,0.3043,1.6662,1.37641,1.22716,0.0010824,0.0010824,0.0010824
51,1057.17,1.86672,1.73091,1.27703,0.63287,0.58961,0.62806,0.31696,1.67671,1.40852,1.22867,0.00107532,0.00107532,0.00107532
52,1072.96,1.88653,1.74541,1.27301,0.6175,0.56378,0.60952,0.3117,1.66718,1.38308,1.23034,0.00106825,0.00106825,0.00106825
53,1088.87,1.90859,1.74694,1.29552,0.59841,0.57339,0.59461,0.30133,1.67565,1.38544,1.22852,0.00106118,0.00106118,0.00106118
54,1104.72,1.91258,1.77616,1.32038,0.63521,0.57605,0.62705,0.3225,1.67641,1.32387,1.23607,0.0010541,0.0010541,0.0010541
55,1120.92,1.86345,1.75196,1.28916,0.67065,0.5702,0.63417,0.32455,1.66699,1.32138,1.22853,0.00104703,0.00104703,0.00104703
56,1137.22,1.87806,1.75361,1.29582,0.62782,0.57566,0.62324,0.31507,1.67974,1.32764,1.23278,0.00103995,0.00103995,0.00103995
57,1153.05,1.85896,1.69306,1.29039,0.64746,0.60735,0.65298,0.33702,1.63955,1.31996,1.21094,0.00103288,0.00103288,0.00103288
58,1168.89,1.85312,1.68587,1.28142,0.66467,0.57882,0.63955,0.3311,1.6498,1.33436,1.22177,0.00102581,0.00102581,0.00102581
59,1184.81,1.88625,1.74296,1.29101,0.61867,0.62096,0.65121,0.33186,1.65817,1.3107,1.22489,0.00101873,0.00101873,0.00101873
60,1200.55,1.89753,1.7956,1.29689,0.67361,0.57974,0.63397,0.32,1.66634,1.33333,1.22529,0.00101166,0.00101166,0.00101166
61,1216.63,1.85751,1.68542,1.29577,0.66435,0.57445,0.63752,0.32684,1.6721,1.32056,1.23504,0.00100459,0.00100459,0.00100459
62,1232.7,1.91717,1.75642,1.28713,0.67236,0.62178,0.66471,0.33873,1.64833,1.28368,1.21635,0.000997513,0.000997513,0.000997513
63,1248.83,1.87871,1.63233,1.27795,0.69455,0.57948,0.64633,0.33744,1.62689,1.32003,1.20295,0.00099044,0.00099044,0.00099044
64,1264.57,1.8484,1.66558,1.27053,0.67769,0.61444,0.67225,0.35203,1.62672,1.26284,1.20585,0.000983366,0.000983366,0.000983366
65,1280.78,1.89065,1.72846,1.28505,0.66864,0.59874,0.65809,0.33651,1.64222,1.28804,1.21366,0.000976293,0.000976293,0.000976293
66,1296.53,1.88072,1.69693,1.28623,0.66045,0.63726,0.67955,0.34691,1.65017,1.25858,1.21814,0.000969219,0.000969219,0.000969219
67,1312.33,1.83162,1.61252,1.26345,0.65599,0.63506,0.68119,0.35008,1.63995,1.2498,1.21538,0.000962146,0.000962146,0.000962146
68,1328.32,1.84758,1.66762,1.27716,0.69888,0.61642,0.684,0.35333,1.63377,1.25207,1.20981,0.000955072,0.000955072,0.000955072
69,1344.41,1.82031,1.58471,1.25016,0.69153,0.61,0.67689,0.35367,1.62066,1.23849,1.20426,0.000947999,0.000947999,0.000947999
70,2469.78,1.8625,1.67705,1.2614,0.65578,0.63333,0.6702,0.34122,1.64862,1.26141,1.21512,0.000940925,0.000940925,0.000940925
71,2485.68,1.85918,1.66326,1.27387,0.69264,0.62749,0.68815,0.36038,1.63388,1.23452,1.20809,0.000933851,0.000933851,0.000933851
72,2502.27,1.84606,1.64275,1.27482,0.67593,0.62276,0.67366,0.35006,1.64806,1.23884,1.21963,0.000926778,0.000926778,0.000926778
73,2518.15,1.85288,1.67348,1.29195,0.6561,0.61893,0.66686,0.34206,1.64463,1.27277,1.20763,0.000919704,0.000919704,0.000919704
74,2534,1.84916,1.62021,1.26672,0.65378,0.60771,0.65565,0.33891,1.65291,1.25415,1.21375,0.000912631,0.000912631,0.000912631
75,2550.01,1.84445,1.63181,1.28945,0.69266,0.60831,0.68479,0.36305,1.61097,1.21406,1.20057,0.000905557,0.000905557,0.000905557
76,2566.06,1.8266,1.62319,1.2768,0.67039,0.63167,0.68423,0.36384,1.60975,1.21827,1.19685,0.000898484,0.000898484,0.000898484
77,2582.15,1.80122,1.6117,1.26914,0.68165,0.62079,0.68324,0.35893,1.60328,1.25289,1.19503,0.00089141,0.00089141,0.00089141
78,2597.89,1.81706,1.60949,1.24379,0.7074,0.62117,0.70234,0.37262,1.62343,1.19559,1.2071,0.000884337,0.000884337,0.000884337
79,2613.86,1.81626,1.63284,1.27084,0.70495,0.65788,0.70909,0.37455,1.62342,1.17429,1.20872,0.000877263,0.000877263,0.000877263
80,2629.97,1.82995,1.61672,1.25342,0.6849,0.63723,0.69297,0.36769,1.62403,1.21187,1.20704,0.00087019,0.00087019,0.00087019
81,2646.21,1.80913,1.58727,1.25626,0.6809,0.641,0.70344,0.37544,1.60358,1.17812,1.19495,0.000863116,0.000863116,0.000863116
82,2662.33,1.83101,1.61283,1.25669,0.70349,0.65403,0.71466,0.38143,1.59864,1.18406,1.19042,0.000856042,0.000856042,0.000856042
83,2678.36,1.82137,1.5996,1.26144,0.67721,0.65668,0.70917,0.37504,1.6061,1.18284,1.19643,0.000848969,0.000848969,0.000848969
84,2694.17,1.79152,1.52771,1.23484,0.72605,0.64636,0.71932,0.38688,1.59589,1.16652,1.19071,0.000841895,0.000841895,0.000841895
85,2710.52,1.82164,1.56474,1.25129,0.70656,0.66179,0.72399,0.38596,1.59953,1.17187,1.19151,0.000834822,0.000834822,0.000834822
86,2726.45,1.80846,1.59223,1.2683,0.70488,0.64722,0.70957,0.37917,1.58777,1.15908,1.18882,0.000827748,0.000827748,0.000827748
87,2742.77,1.80121,1.58663,1.26115,0.70401,0.68087,0.72756,0.38554,1.60386,1.17492,1.19946,0.000820675,0.000820675,0.000820675
88,2758.46,1.80037,1.54303,1.23926,0.69221,0.66063,0.71074,0.37772,1.59395,1.1725,1.19576,0.000813601,0.000813601,0.000813601
89,2774.16,1.79644,1.56014,1.25148,0.70521,0.64684,0.70348,0.36853,1.62933,1.19298,1.19668,0.000806528,0.000806528,0.000806528
90,2790.03,1.80675,1.54135,1.23499,0.69704,0.64148,0.71276,0.38306,1.60465,1.16111,1.19939,0.000799454,0.000799454,0.000799454
91,2806,1.8113,1.63416,1.26506,0.71008,0.66844,0.73263,0.39744,1.58322,1.13033,1.18463,0.00079238,0.00079238,0.00079238
92,2821.99,1.83807,1.65174,1.2632,0.71291,0.66786,0.73746,0.40083,1.58439,1.13523,1.18458,0.000785307,0.000785307,0.000785307
93,2838.06,1.78504,1.51685,1.23715,0.71033,0.68623,0.7293,0.38982,1.60155,1.1429,1.19551,0.000778233,0.000778233,0.000778233
94,2853.97,1.77629,1.54407,1.23709,0.71408,0.65581,0.72617,0.39545,1.58056,1.12854,1.18267,0.00077116,0.00077116,0.00077116
95,2870.2,1.79088,1.527,1.25103,0.74136,0.66106,0.73613,0.40062,1.58861,1.10344,1.18834,0.000764086,0.000764086,0.000764086
96,2886,1.77221,1.49803,1.23585,0.7168,0.66511,0.73096,0.39463,1.58708,1.12626,1.18622,0.000757013,0.000757013,0.000757013
97,2901.82,1.79747,1.55264,1.23616,0.711,0.66787,0.72803,0.39935,1.56196,1.1374,1.17672,0.000749939,0.000749939,0.000749939
98,2917.63,1.78689,1.56416,1.24911,0.68488,0.68001,0.72756,0.39167,1.58366,1.17316,1.18032,0.000742866,0.000742866,0.000742866
99,2933.57,1.76967,1.47786,1.24209,0.71663,0.68374,0.7406,0.40363,1.57681,1.10363,1.1811,0.000735792,0.000735792,0.000735792
100,2949.78,1.80938,1.61054,1.26794,0.71644,0.67423,0.73478,0.39798,1.58454,1.13938,1.19049,0.000728719,0.000728719,0.000728719
101,2965.77,1.76688,1.53436,1.23247,0.70254,0.6894,0.7375,0.40054,1.56656,1.13206,1.1758,0.000721645,0.000721645,0.000721645
102,2981.66,1.78475,1.53058,1.23744,0.7469,0.67114,0.75078,0.40582,1.5834,1.12347,1.17979,0.000714571,0.000714571,0.000714571
103,2997.97,1.73227,1.44777,1.22937,0.72829,0.68024,0.74763,0.40774,1.57757,1.09711,1.18504,0.000707498,0.000707498,0.000707498
104,3013.93,1.77719,1.53561,1.25697,0.76396,0.66742,0.74704,0.40814,1.57356,1.09219,1.18354,0.000700424,0.000700424,0.000700424
105,3030.28,1.73962,1.44727,1.23003,0.75968,0.66291,0.74589,0.40965,1.55582,1.10471,1.17179,0.000693351,0.000693351,0.000693351
106,3046.38,1.79753,1.55198,1.25494,0.75005,0.66239,0.74433,0.40674,1.57251,1.1035,1.18162,0.000686277,0.000686277,0.000686277
107,3062.36,1.77668,1.50942,1.2396,0.75467,0.66483,0.74418,0.40259,1.57463,1.0842,1.18225,0.000679204,0.000679204,0.000679204
108,3078.36,1.7458,1.45373,1.23573,0.75588,0.67572,0.75922,0.41854,1.5618,1.06743,1.1784,0.00067213,0.00067213,0.00067213
109,3094.4,1.76409,1.49119,1.23944,0.73878,0.69394,0.75309,0.39924,1.60285,1.10043,1.18267,0.000665057,0.000665057,0.000665057
110,3110.3,1.74085,1.44843,1.23633,0.75815,0.68639,0.75744,0.42152,1.53611,1.07214,1.16857,0.000657983,0.000657983,0.000657983
111,3126.42,1.73427,1.42232,1.22033,0.74885,0.69526,0.76754,0.42305,1.54653,1.06353,1.16871,0.000650909,0.000650909,0.000650909
112,3142.52,1.7493,1.46176,1.21994,0.76312,0.69332,0.76483,0.42149,1.54507,1.0607,1.16703,0.000643836,0.000643836,0.000643836
113,3158.21,1.73721,1.43688,1.22699,0.75999,0.67658,0.76047,0.41398,1.56264,1.05945,1.17162,0.000636762,0.000636762,0.000636762
114,3174.04,1.72586,1.42266,1.21857,0.77008,0.7008,0.77528,0.42608,1.56394,1.0523,1.17416,0.000629689,0.000629689,0.000629689
115,3190.09,1.74348,1.45579,1.23442,0.79141,0.68097,0.76885,0.42761,1.54562,1.04916,1.16634,0.000622615,0.000622615,0.000622615
116,3206.12,1.73933,1.46635,1.23561,0.73989,0.70594,0.76923,0.42958,1.5423,1.03646,1.16574,0.000615542,0.000615542,0.000615542
117,3222.32,1.70814,1.38623,1.21515,0.76564,0.70541,0.76981,0.42769,1.53083,1.03009,1.16396,0.000608468,0.000608468,0.000608468
118,3238.71,1.73769,1.42953,1.22423,0.75725,0.69938,0.76964,0.42161,1.54733,1.05965,1.16678,0.000601395,0.000601395,0.000601395
