                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7917,                 4.7142,                 3.4205,                0.23177,                 0.2832,                 0.2236,                0.09006,                 2.3838,                 2.4373,                 1.8778,              0.0033294,              0.0033294,              0.0033294
                      2,                   2.18,                 1.9658,                 1.5798,                 0.5017,                 0.4615,                0.44924,                0.20322,                 1.9013,                 1.6627,                 1.4676,              0.0065968,              0.0065968,              0.0065968
                      3,                  1.965,                 1.6915,                 1.4257,                 0.5508,                0.50918,                0.50912,                0.23169,                 1.7967,                 1.6703,                 1.3804,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.8822,                 1.5438,                 1.3576,                0.56758,                0.53169,                 0.5454,                0.25939,                 1.8016,                 1.5268,                 1.3715,               0.009703,               0.009703,               0.009703
                      5,                 1.7916,                 1.3851,                 1.3122,                0.64729,                0.61323,                0.64987,                 0.3254,                 1.6936,                 1.3108,                 1.3095,               0.009604,               0.009604,               0.009604
                      6,                 1.7381,                 1.3043,                 1.2859,                 0.6329,                0.48676,                0.52194,                0.24286,                 1.8426,                  1.635,                 1.3808,               0.009505,               0.009505,               0.009505
                      7,                 1.7093,                 1.2417,                 1.2612,                0.67313,                0.60204,                0.65474,                0.31971,                 1.7226,                 1.3068,                 1.3077,               0.009406,               0.009406,               0.009406
                      8,                 1.6648,                 1.1593,                 1.2456,                0.62912,                0.59099,                0.61707,                0.30412,                  1.752,                 1.4358,                 1.3259,               0.009307,               0.009307,               0.009307
                      9,                 1.6371,                 1.1214,                 1.2322,                 0.7268,                0.71433,                 0.7637,                 0.4055,                 1.5952,                 1.1316,                 1.2479,               0.009208,               0.009208,               0.009208
                     10,                 1.6037,                 1.0537,                  1.225,                0.77189,                0.71699,                0.78096,                0.41855,                 1.5617,                 1.0321,                 1.2333,               0.009109,               0.009109,               0.009109
                     11,                 1.5681,                 1.0158,                 1.2009,                0.73918,                0.71098,                0.76287,                0.40986,                 1.5984,                 1.0929,                 1.2509,                0.00901,                0.00901,                0.00901
                     12,                 1.5554,                0.98707,                 1.1956,                0.75313,                0.75786,                 0.7956,                0.43913,                 1.5241,                  0.996,                  1.213,               0.008911,               0.008911,               0.008911
                     13,                 1.5245,                0.94657,                 1.1797,                0.75892,                0.74929,                0.79219,                0.44649,                 1.5061,                 1.0412,                 1.2123,               0.008812,               0.008812,               0.008812
                     14,                 1.4827,                0.90496,                 1.1674,                0.74447,                0.75923,                0.79894,                0.45792,                 1.4756,                 1.1354,                 1.1971,               0.008713,               0.008713,               0.008713
                     15,                 1.4406,                0.86032,                 1.1604,                0.80693,                0.79957,                0.85093,                0.50856,                 1.4002,                0.84637,                 1.1647,               0.008614,               0.008614,               0.008614
                     16,                 1.4296,                0.84158,                 1.1419,                0.78186,                0.79573,                0.83108,                0.47965,                 1.4542,                0.90874,                 1.1825,               0.008515,               0.008515,               0.008515
                     17,                 1.3979,                0.83208,                 1.1494,                0.82078,                0.80674,                0.85894,                0.51926,                 1.3778,                0.79806,                 1.1563,               0.008416,               0.008416,               0.008416
                     18,                 1.3935,                0.79673,                 1.1374,                0.81592,                0.82652,                0.86364,                0.53261,                 1.3303,                0.79985,                 1.1314,               0.008317,               0.008317,               0.008317
                     19,                 1.3685,                0.78462,                 1.1352,                0.82258,                 0.8342,                0.87187,                0.53773,                 1.3316,                 0.7798,                 1.1347,               0.008218,               0.008218,               0.008218
                     20,                 1.3463,                0.76793,                  1.113,                0.84441,                0.82535,                0.87882,                0.54269,                 1.3314,                0.74313,                 1.1335,               0.008119,               0.008119,               0.008119
                     21,                 1.3155,                0.74507,                 1.0985,                0.83081,                0.80958,                0.86696,                0.53666,                  1.342,                0.80032,                 1.1395,                0.00802,                0.00802,                0.00802
                     22,                 1.3125,                0.73226,                 1.1013,                0.82736,                0.83843,                0.87455,                0.54788,                 1.2982,                0.77521,                 1.1219,               0.007921,               0.007921,               0.007921
                     23,                 1.2862,                0.71085,                 1.0855,                0.85132,                 0.8372,                0.88704,                 0.5691,                 1.2606,                0.72724,                 1.1052,               0.007822,               0.007822,               0.007822
                     24,                 1.2584,                0.69597,                 1.0785,                0.83568,                 0.8471,                0.88674,                0.56695,                 1.2606,                0.73806,                 1.0996,               0.007723,               0.007723,               0.007723
                     25,                 1.2591,                0.68372,                 1.0813,                0.86248,                0.85476,                0.89746,                0.57491,                 1.2632,                0.68476,                 1.1006,               0.007624,               0.007624,               0.007624
                     26,                 1.2358,                0.67645,                 1.0723,                0.86043,                0.85472,                 0.8982,                0.58576,                 1.2242,                0.67417,                 1.0902,               0.007525,               0.007525,               0.007525
                     27,                 1.2266,                0.66952,                 1.0708,                0.87809,                0.86375,                0.91105,                0.59682,                  1.219,                0.64215,                 1.0845,               0.007426,               0.007426,               0.007426
                     28,                  1.209,                 0.6594,                 1.0613,                0.86784,                0.87144,                0.90986,                0.60066,                  1.188,                0.65109,                 1.0756,               0.007327,               0.007327,               0.007327
                     29,                 1.1895,                0.64409,                 1.0514,                0.87446,                0.87572,                0.91606,                 0.6129,                 1.1744,                0.62603,                  1.068,               0.007228,               0.007228,               0.007228
                     30,                 1.1902,                0.63151,                  1.052,                 0.8765,                0.87008,                0.91197,                0.60279,                  1.199,                0.65844,                 1.0797,               0.007129,               0.007129,               0.007129
                     31,                  1.159,                0.62303,                 1.0373,                0.86535,                0.88294,                0.91347,                0.60794,                  1.187,                0.63207,                 1.0717,                0.00703,                0.00703,                0.00703
                     32,                 1.1531,                 0.6127,                 1.0282,                0.88142,                0.89747,                 0.9239,                0.62142,                  1.152,                0.58443,                 1.0613,               0.006931,               0.006931,               0.006931
                     33,                 1.1512,                0.60607,                 1.0335,                0.88259,                0.88202,                0.91761,                0.61136,                 1.1869,                0.60955,                 1.0746,               0.006832,               0.006832,               0.006832
                     34,                 1.1507,                0.61648,                 1.0369,                 0.8885,                0.87368,                0.91934,                0.62243,                 1.1455,                0.60441,                 1.0555,               0.006733,               0.006733,               0.006733
                     35,                 1.1342,                 0.6001,                 1.0317,                0.88986,                0.88269,                0.92215,                0.61922,                 1.1555,                0.58492,                 1.0594,               0.006634,               0.006634,               0.006634
                     36,                  1.117,                 0.5986,                 1.0309,                 0.8937,                0.88769,                0.93006,                0.63767,                 1.1151,                0.56525,                 1.0447,               0.006535,               0.006535,               0.006535
                     37,                 1.1103,                  0.585,                 1.0207,                0.89029,                0.90035,                0.93189,                 0.6427,                 1.1163,                0.55776,                 1.0443,               0.006436,               0.006436,               0.006436
                     38,                  1.104,                 0.5737,                 1.0183,                 0.8922,                0.89277,                0.92976,                0.63186,                 1.1385,                 0.5636,                 1.0554,               0.006337,               0.006337,               0.006337
                     39,                 1.0953,                0.57515,                 1.0126,                0.89731,                 0.8943,                0.93171,                0.64563,                 1.1019,                0.55465,                 1.0415,               0.006238,               0.006238,               0.006238
                     40,                 1.0807,                0.56792,                 1.0117,                0.89268,                0.90678,                0.93481,                0.65049,                 1.0914,                0.54683,                 1.0372,               0.006139,               0.006139,               0.006139
                     41,                 1.0871,                0.56591,                 1.0225,                0.88769,                0.90127,                 0.9327,                0.64316,                 1.1087,                0.56296,                 1.0435,                0.00604,                0.00604,                0.00604
                     42,                  1.087,                0.56944,                  1.013,                0.89591,                 0.9095,                0.93885,                0.65538,                 1.0908,                 0.5357,                 1.0363,               0.005941,               0.005941,               0.005941
                     43,                 1.0682,                0.55876,                 1.0075,                0.90612,                0.90834,                0.94173,                0.66351,                 1.0693,                0.51749,                 1.0278,               0.005842,               0.005842,               0.005842
                     44,                 1.0627,                0.54842,                 1.0134,                0.89982,                0.91074,                0.94069,                0.65737,                 1.0736,                0.52568,                 1.0285,               0.005743,               0.005743,               0.005743
                     45,                 1.0322,                0.53466,                0.98595,                0.90883,                0.91017,                0.94427,                0.66592,                  1.066,                0.51516,                 1.0211,               0.005644,               0.005644,               0.005644
                     46,                 1.0512,                0.55028,                 1.0012,                0.89921,                0.91528,                0.94124,                0.66477,                 1.0618,                0.52336,                 1.0233,               0.005545,               0.005545,               0.005545
                     47,                 1.0378,                 0.5398,                0.99478,                0.91112,                0.90654,                0.94155,                0.66646,                 1.0575,                0.51685,                  1.023,               0.005446,               0.005446,               0.005446
                     48,                  1.034,                0.54643,                0.99437,                0.90881,                0.91871,                 0.9466,                0.67256,                 1.0401,                0.50859,                 1.0144,               0.005347,               0.005347,               0.005347
                     49,                 1.0068,                0.51916,                0.98768,                0.90985,                0.91641,                0.94423,                0.66574,                 1.0573,                0.51135,                 1.0186,               0.005248,               0.005248,               0.005248
                     50,                0.99957,                0.51788,                0.98074,                0.90816,                0.91422,                0.94345,                0.67029,                 1.0395,                0.50818,                  1.017,               0.005149,               0.005149,               0.005149
