epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1518.9,1.54119,1.5894,1.17956,0.7464,0.69077,0.75409,0.40936,1.55896,1.0935,1.19587,0.007921,0.007921,0.007921
44,1553.49,1.52789,1.58168,1.1682,0.74644,0.71682,0.76383,0.41326,1.5806,1.02317,1.20538,0.0078715,0.0078715,0.0078715
45,1588.8,1.5184,1.53461,1.17409,0.76294,0.6983,0.76498,0.41954,1.56638,1.02687,1.19862,0.007822,0.007822,0.007822
46,1623.81,1.51211,1.4792,1.14575,0.75645,0.70473,0.77036,0.42427,1.5583,1.01861,1.19801,0.0077725,0.0077725,0.0077725
47,1658.78,1.51403,1.56134,1.17114,0.75735,0.71749,0.77081,0.42154,1.55261,1.00361,1.19044,0.007723,0.007723,0.007723
48,1693.14,1.54035,1.54346,1.17314,0.74652,0.71401,0.77251,0.43096,1.53936,1.00224,1.18729,0.0076735,0.0076735,0.0076735
49,1728.14,1.51483,1.59361,1.16111,0.75912,0.70841,0.75712,0.41532,1.55865,1.01163,1.19955,0.007624,0.007624,0.007624
50,1763.14,1.51328,1.53802,1.17094,0.78725,0.70792,0.78349,0.43363,1.53949,0.97518,1.19148,0.0075745,0.0075745,0.0075745
51,1798.49,1.51568,1.56083,1.17409,0.78068,0.71173,0.7784,0.43546,1.53499,0.97221,1.18684,0.007525,0.007525,0.007525
52,1833.37,1.50166,1.51865,1.15889,0.72957,0.72616,0.76105,0.4205,1.53851,1.00777,1.18925,0.0074755,0.0074755,0.0074755
53,1868,1.49559,1.53842,1.15396,0.7577,0.72305,0.78411,0.44035,1.53602,0.97096,1.1867,0.007426,0.007426,0.007426
54,1902.47,1.48415,1.49263,1.1543,0.77449,0.73592,0.79773,0.4469,1.53029,0.94837,1.18648,0.0073765,0.0073765,0.0073765
55,1937.16,1.46971,1.49656,1.14025,0.78136,0.71723,0.78908,0.43965,1.53059,0.96894,1.18827,0.007327,0.007327,0.007327
