epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10649.8,1.34243,0.87136,1.09372,0.90632,0.89467,0.93558,0.64739,1.09556,0.61306,1.02851,0.007921,0.007921,0.007921
44,10825.6,1.32442,0.86446,1.08577,0.90485,0.89732,0.93737,0.64965,1.09205,0.60774,1.0264,0.0078715,0.0078715,0.0078715
45,11003.2,1.3181,0.86853,1.08739,0.90859,0.90684,0.93938,0.6546,1.0834,0.59704,1.02552,0.007822,0.007822,0.007822
46,11173.3,1.31558,0.86183,1.08459,0.908,0.90553,0.93872,0.64909,1.08719,0.60031,1.02604,0.0077725,0.0077725,0.0077725
47,11347.1,1.31324,0.84794,1.07997,0.91123,0.90719,0.94157,0.65721,1.07697,0.59427,1.02209,0.007723,0.007723,0.007723
48,11524.7,1.31319,0.8554,1.08588,0.91071,0.9089,0.9414,0.65924,1.07126,0.58866,1.02163,0.0076735,0.0076735,0.0076735
49,11699.4,1.30121,0.84617,1.078,0.91136,0.90873,0.94203,0.66255,1.06553,0.58645,1.01711,0.007624,0.007624,0.007624
50,11875.2,1.28449,0.82757,1.07436,0.91312,0.90591,0.94195,0.66186,1.06591,0.58475,1.01798,0.0075745,0.0075745,0.0075745
51,12048.5,1.28916,0.82615,1.07362,0.91916,0.90775,0.94366,0.66036,1.07097,0.58511,1.01767,0.007525,0.007525,0.007525
52,12223.1,1.27632,0.81956,1.06841,0.91381,0.91536,0.94474,0.66968,1.04222,0.57263,1.01009,0.0074755,0.0074755,0.0074755
53,12395.5,1.27968,0.82283,1.07233,0.90871,0.91917,0.94393,0.66972,1.0457,0.57478,1.00849,0.007426,0.007426,0.007426
54,12564.2,1.27511,0.80902,1.06574,0.91909,0.9105,0.94525,0.67029,1.04502,0.57087,1.0093,0.0073765,0.0073765,0.0073765
55,12737.5,1.25797,0.79901,1.06303,0.90562,0.92185,0.94179,0.66876,1.03717,0.57359,1.00789,0.007327,0.007327,0.007327
56,12903.4,1.26454,0.80473,1.06487,0.91594,0.92166,0.94843,0.67387,1.03714,0.56641,1.00567,0.0072775,0.0072775,0.0072775
57,13073.8,1.2677,0.80727,1.06822,0.91541,0.91756,0.94664,0.67651,1.02581,0.56342,1.00189,0.007228,0.007228,0.007228
58,13244.8,1.25377,0.79716,1.06349,0.91764,0.92649,0.94867,0.67966,1.01729,0.55837,1.00029,0.0071785,0.0071785,0.0071785
59,13419.8,1.24732,0.78378,1.05921,0.91756,0.9226,0.94868,0.67814,1.0202,0.55694,0.99971,0.007129,0.007129,0.007129
60,13592,1.23533,0.77719,1.05372,0.92005,0.92045,0.94982,0.68476,1.0081,0.55065,0.99603,0.0070795,0.0070795,0.0070795
61,13766,1.23462,0.7811,1.05658,0.91481,0.92656,0.94781,0.68002,1.00774,0.55343,0.9962,0.00703,0.00703,0.00703
62,13931.7,1.23497,0.77088,1.06006,0.9258,0.9194,0.95029,0.6806,1.01616,0.54905,0.99728,0.0069805,0.0069805,0.0069805
63,14102.7,1.22197,0.76152,1.04791,0.92644,0.91825,0.94919,0.68387,1.00376,0.54271,0.99499,0.006931,0.006931,0.006931
64,14273.5,1.21533,0.76175,1.046,0.9201,0.922,0.95021,0.68371,1.01225,0.54559,0.99717,0.0068815,0.0068815,0.0068815
65,14443,1.2169,0.75374,1.04672,0.91924,0.92642,0.95162,0.69012,0.99284,0.5424,0.98895,0.006832,0.006832,0.006832
66,14615.8,1.20422,0.75052,1.04003,0.91653,0.92813,0.95123,0.68691,1.00087,0.54058,0.99337,0.0067825,0.0067825,0.0067825
67,14786.2,1.19583,0.7449,1.04008,0.92217,0.93055,0.95342,0.69127,0.98865,0.53606,0.98995,0.006733,0.006733,0.006733
68,14957,1.1994,0.74463,1.04131,0.92049,0.9278,0.95296,0.69412,0.98346,0.53175,0.9888,0.0066835,0.0066835,0.0066835
69,15126.9,1.2097,0.74982,1.04263,0.92098,0.92661,0.95321,0.69522,0.97502,0.52934,0.98628,0.006634,0.006634,0.006634
70,15291.3,1.18546,0.73069,1.04106,0.92231,0.92633,0.9539,0.69419,0.98034,0.52874,0.98729,0.0065845,0.0065845,0.0065845
71,15464.1,1.19899,0.74035,1.03732,0.92744,0.92428,0.95298,0.69717,0.98102,0.52573,0.98762,0.006535,0.006535,0.006535
72,15639.7,1.18461,0.73278,1.03827,0.92158,0.92862,0.95471,0.69597,0.98154,0.52631,0.98541,0.0064855,0.0064855,0.0064855
73,15811.9,1.16802,0.71865,1.02504,0.92285,0.9285,0.95447,0.69757,0.97778,0.52423,0.98505,0.006436,0.006436,0.006436
74,15987.9,1.1858,0.73176,1.03358,0.92694,0.93208,0.95564,0.69946,0.96819,0.52187,0.9823,0.0063865,0.0063865,0.0063865
75,16164.9,1.1798,0.71786,1.0322,0.92544,0.93154,0.95662,0.69804,0.97723,0.52247,0.98521,0.006337,0.006337,0.006337
76,16338.5,1.17221,0.71283,1.03077,0.92675,0.92992,0.95688,0.69882,0.97028,0.52444,0.98215,0.0062875,0.0062875,0.0062875
77,16509,1.16228,0.70912,1.02869,0.92439,0.93186,0.95727,0.70458,0.95914,0.51819,0.9789,0.006238,0.006238,0.006238
78,16678.8,1.17062,0.71096,1.02529,0.92626,0.93268,0.95601,0.70367,0.9606,0.51752,0.97956,0.0061885,0.0061885,0.0061885
79,16848.7,1.16527,0.70446,1.02421,0.92407,0.93609,0.95578,0.70539,0.95406,0.51509,0.97722,0.006139,0.006139,0.006139
80,17024,1.15711,0.69961,1.02387,0.92361,0.93635,0.95599,0.70603,0.95676,0.51394,0.97847,0.0060895,0.0060895,0.0060895
81,17197.9,1.14859,0.69457,1.01792,0.92842,0.93575,0.95823,0.7048,0.95836,0.51386,0.97924,0.00604,0.00604,0.00604
82,17366.8,1.14522,0.69405,1.02431,0.92599,0.93529,0.95768,0.70624,0.95424,0.51411,0.97811,0.0059905,0.0059905,0.0059905
83,17542.5,1.15797,0.70429,1.02566,0.92742,0.93695,0.95736,0.70977,0.94649,0.5095,0.97513,0.005941,0.005941,0.005941
84,17714.5,1.14449,0.6905,1.01355,0.92331,0.93905,0.9577,0.70806,0.94994,0.50974,0.97523,0.0058915,0.0058915,0.0058915
85,17883.4,1.14637,0.69194,1.01953,0.92963,0.93356,0.95852,0.7102,0.94212,0.50678,0.97367,0.005842,0.005842,0.005842
86,18055.3,1.14117,0.69075,1.01747,0.92817,0.93555,0.95804,0.71058,0.9387,0.50558,0.97283,0.0057925,0.0057925,0.0057925
87,18232.1,1.13768,0.68419,1.0132,0.9278,0.93584,0.95775,0.7114,0.93501,0.50545,0.97175,0.005743,0.005743,0.005743
88,18406.5,1.12523,0.6729,1.0142,0.92486,0.94121,0.95746,0.71238,0.932,0.50342,0.97028,0.0056935,0.0056935,0.0056935
89,18579.9,1.13523,0.68288,1.01384,0.92663,0.94107,0.959,0.7137,0.92861,0.50161,0.96949,0.005644,0.005644,0.005644
90,18756.2,1.11778,0.67263,1.00662,0.92714,0.93954,0.95772,0.71195,0.93281,0.50188,0.97133,0.0055945,0.0055945,0.0055945
91,18927.5,1.12037,0.67102,1.0079,0.9302,0.9385,0.95882,0.71383,0.93271,0.50013,0.97016,0.005545,0.005545,0.005545
92,19100.5,1.12024,0.67354,1.00934,0.93021,0.93709,0.95881,0.71447,0.93273,0.49912,0.97047,0.0054955,0.0054955,0.0054955
93,19270.6,1.11325,0.67062,1.00641,0.92975,0.94002,0.95922,0.71512,0.92737,0.49772,0.96843,0.005446,0.005446,0.005446
94,19442.3,1.11537,0.66847,1.01159,0.92819,0.94135,0.95964,0.7172,0.92736,0.49469,0.96842,0.0053965,0.0053965,0.0053965
95,19620.3,1.11008,0.66435,1.00814,0.92883,0.94008,0.96115,0.71966,0.92435,0.49478,0.96749,0.005347,0.005347,0.005347
96,19795.2,1.11501,0.66153,1.00851,0.93149,0.9376,0.9612,0.71772,0.92707,0.49477,0.96816,0.0052975,0.0052975,0.0052975
97,19965.6,1.10249,0.65915,1.00637,0.9294,0.94191,0.96191,0.71939,0.92526,0.49244,0.96679,0.005248,0.005248,0.005248
98,20137,1.10528,0.65537,1.00649,0.92933,0.94079,0.96124,0.71988,0.92031,0.49083,0.96559,0.0051985,0.0051985,0.0051985
99,20311.5,1.10383,0.65597,1.00616,0.92749,0.94235,0.96117,0.71868,0.92036,0.48973,0.966,0.005149,0.005149,0.005149
100,20483.5,1.10267,0.65365,1.00604,0.93064,0.94356,0.96097,0.71762,0.91747,0.48849,0.96529,0.0050995,0.0050995,0.0050995
101,20650.4,1.09197,0.64911,0.99677,0.92957,0.94063,0.96032,0.71986,0.91431,0.48753,0.96428,0.00505,0.00505,0.00505
102,20821.3,1.09172,0.64468,0.99876,0.92819,0.94248,0.96093,0.72232,0.91136,0.48857,0.96339,0.0050005,0.0050005,0.0050005
103,20996.6,1.08845,0.64396,0.99943,0.92994,0.93983,0.9612,0.72232,0.91404,0.48832,0.96444,0.004951,0.004951,0.004951
104,21172.7,1.08588,0.64045,0.99451,0.93182,0.94043,0.96118,0.72291,0.912,0.4874,0.96439,0.0049015,0.0049015,0.0049015
105,21343.6,1.07679,0.64016,0.99691,0.93174,0.94074,0.96148,0.72287,0.90904,0.48579,0.9633,0.004852,0.004852,0.004852
106,21510.8,1.07532,0.63084,0.99481,0.93432,0.93842,0.9615,0.72494,0.90863,0.48553,0.96297,0.0048025,0.0048025,0.0048025
107,21683.6,1.07457,0.63382,0.99246,0.93491,0.93873,0.96163,0.72631,0.90226,0.48341,0.96043,0.004753,0.004753,0.004753
108,21856.5,1.06881,0.63168,0.99145,0.93194,0.94244,0.96213,0.72714,0.89968,0.48205,0.95976,0.0047035,0.0047035,0.0047035
109,22027.8,1.07127,0.62638,0.99606,0.93242,0.94112,0.96228,0.72676,0.89972,0.48089,0.95977,0.004654,0.004654,0.004654
110,22195.3,1.06977,0.62682,0.99196,0.9294,0.94569,0.9623,0.72763,0.89657,0.47966,0.95887,0.0046045,0.0046045,0.0046045
111,22366.2,1.06498,0.62556,0.98966,0.93211,0.94282,0.96172,0.72779,0.89673,0.4788,0.95909,0.004555,0.004555,0.004555
112,22539.7,1.05658,0.61436,0.98718,0.93272,0.9432,0.9618,0.7269,0.89922,0.47898,0.95958,0.0045055,0.0045055,0.0045055
113,22711.1,1.05412,0.6188,0.98696,0.93215,0.9433,0.9615,0.72741,0.89851,0.47848,0.95907,0.004456,0.004456,0.004456
114,22880.7,1.05431,0.61553,0.98871,0.92929,0.94587,0.9614,0.72793,0.89644,0.47854,0.95836,0.0044065,0.0044065,0.0044065
115,23054.4,1.06165,0.62223,0.98919,0.92948,0.94532,0.962,0.72903,0.8945,0.47763,0.95753,0.004357,0.004357,0.004357
116,23224.5,1.0531,0.61499,0.98223,0.93043,0.94548,0.96235,0.73089,0.89167,0.47614,0.95684,0.0043075,0.0043075,0.0043075
117,23392.1,1.05228,0.61778,0.98688,0.93137,0.94426,0.96291,0.73059,0.89259,0.47638,0.95676,0.004258,0.004258,0.004258
