                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0498,                0.54223,                0.99476,                0.90922,                0.90945,                0.93953,                 0.6458,                 1.1127,                0.53231,                 1.0471,                0.00769,                0.00769,                0.00769
                     37,                 1.0405,                0.53757,                0.98989,                0.90835,                0.91285,                0.94175,                0.66173,                  1.068,                0.52155,                  1.027,               0.007624,               0.007624,               0.007624
                     38,                 1.0374,                0.53298,                0.99093,                0.90387,                 0.9156,                0.94238,                0.66237,                 1.0681,                0.50758,                 1.0266,               0.007558,               0.007558,               0.007558
                     39,                 1.0251,                0.52488,                0.98164,                0.90153,                0.91648,                0.94077,                0.65818,                 1.0734,                0.51807,                 1.0292,               0.007492,               0.007492,               0.007492
                     40,                 1.0115,                0.51861,                0.97931,                0.90546,                0.91339,                0.94216,                0.66498,                 1.0717,                0.51183,                 1.0302,               0.007426,               0.007426,               0.007426
                     41,                 1.0141,                  0.514,                0.98223,                0.90866,                0.91739,                0.94406,                0.66328,                 1.0768,                0.50398,                 1.0313,                0.00736,                0.00736,                0.00736
                     42,                0.99949,                0.50746,                0.97536,                0.90856,                0.90772,                 0.9405,                0.66247,                 1.0822,                0.51568,                 1.0346,               0.007294,               0.007294,               0.007294
                     43,                0.99588,                0.50719,                0.97176,                0.90936,                0.91586,                0.94387,                0.66801,                  1.061,                 0.5026,                 1.0272,               0.007228,               0.007228,               0.007228
                     44,                0.98711,                0.49983,                0.97192,                0.90636,                0.92705,                0.94815,                0.67849,                   1.03,                0.48745,                 1.0127,               0.007162,               0.007162,               0.007162
                     45,                0.97745,                0.49842,                0.96879,                0.91478,                0.91588,                0.94854,                0.67709,                 1.0387,                0.48776,                 1.0174,               0.007096,               0.007096,               0.007096
                     46,                0.98477,                0.50152,                0.97317,                0.91197,                0.92892,                0.95002,                0.68437,                 1.0234,                0.47883,                 1.0126,                0.00703,                0.00703,                0.00703
                     47,                0.97748,                0.49472,                0.96979,                0.91508,                0.92394,                0.94912,                0.68458,                 1.0171,                0.48244,                 1.0097,               0.006964,               0.006964,               0.006964
                     48,                0.96733,                0.49101,                0.96533,                  0.909,                0.93367,                0.95112,                0.68607,                 1.0175,                0.47662,                 1.0085,               0.006898,               0.006898,               0.006898
                     49,                0.95887,                0.48777,                0.96227,                0.91052,                0.93115,                0.94999,                0.68127,                  1.033,                0.47709,                 1.0157,               0.006832,               0.006832,               0.006832
                     50,                0.96283,                0.48393,                0.96413,                0.91553,                0.92842,                0.95087,                0.69025,                 1.0058,                0.46889,                 1.0033,               0.006766,               0.006766,               0.006766
                     51,                0.96334,                0.48569,                0.96678,                0.90971,                0.93549,                0.95203,                0.69068,                 1.0119,                0.46998,                 1.0107,                 0.0067,                 0.0067,                 0.0067
                     52,                0.94352,                 0.4766,                0.95636,                0.91518,                0.93631,                0.95411,                0.69961,                0.98676,                0.45791,                  1.001,               0.006634,               0.006634,               0.006634
