epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0249,5.00039,4.5959,3.62517,0,0,0,0,6.33842,4.57766,4.3038,0.00329825,0.00329825,0.00329825
2,50.5387,2.59046,2.71107,1.91674,0.2923,0.32086,0.24495,0.10528,2.05004,2.14137,1.53892,0.00659875,0.00659875,0.00659875
3,74.9647,2.22382,2.32937,1.57586,0.3249,0.30221,0.25725,0.10567,2.02608,2.08449,1.45662,0.00986626,0.00986626,0.00986626
4,99.5098,2.12182,2.23843,1.48084,0.43916,0.41416,0.38538,0.17439,1.92712,1.7252,1.40036,0.0098515,0.0098515,0.0098515
5,124.153,2.07524,2.11452,1.43916,0.47294,0.46354,0.4348,0.20197,1.8735,1.71399,1.36716,0.009802,0.009802,0.009802
6,148.898,1.98666,2.01303,1.39257,0.54809,0.47112,0.48479,0.23063,1.83361,1.62736,1.34054,0.0097525,0.0097525,0.0097525
7,173.702,1.95514,1.95423,1.37168,0.48654,0.48993,0.47233,0.21775,1.80545,1.85246,1.32133,0.009703,0.009703,0.009703
8,198.418,1.88401,1.85928,1.34369,0.56619,0.52181,0.52078,0.25106,1.80414,1.50924,1.33133,0.0096535,0.0096535,0.0096535
9,223.029,1.86492,1.83895,1.30679,0.50471,0.47049,0.45636,0.21591,1.77678,1.63522,1.3009,0.009604,0.009604,0.009604
10,247.178,1.82716,1.77516,1.30795,0.57343,0.50626,0.5185,0.25104,1.74448,1.5652,1.28922,0.0095545,0.0095545,0.0095545
11,271.523,1.82334,1.74105,1.29415,0.59614,0.55229,0.57535,0.28033,1.75246,1.38197,1.29743,0.009505,0.009505,0.009505
12,295.807,1.80775,1.71484,1.29335,0.58258,0.51357,0.54822,0.27249,1.72497,1.44702,1.27729,0.0094555,0.0094555,0.0094555
13,320.037,1.79555,1.70196,1.28184,0.60441,0.58715,0.5935,0.29325,1.72379,1.36228,1.27643,0.009406,0.009406,0.009406
14,345.888,1.76278,1.69771,1.29416,0.66613,0.5632,0.61493,0.30836,1.70316,1.34235,1.27119,0.0093565,0.0093565,0.0093565
15,371.786,1.75201,1.6094,1.25884,0.62245,0.57311,0.61299,0.30711,1.69728,1.3647,1.2664,0.009307,0.009307,0.009307
16,396.346,1.74856,1.57174,1.26387,0.68182,0.57368,0.63795,0.32132,1.67981,1.26821,1.25544,0.0092575,0.0092575,0.0092575
17,420.987,1.75216,1.60892,1.26759,0.64298,0.59554,0.64028,0.32513,1.68759,1.24565,1.25901,0.009208,0.009208,0.009208
18,445.335,1.72401,1.59606,1.26141,0.62643,0.62085,0.63836,0.32308,1.68224,1.27039,1.25613,0.0091585,0.0091585,0.0091585
19,469.193,1.71913,1.58118,1.25967,0.66716,0.60327,0.65812,0.33018,1.7039,1.21022,1.26809,0.009109,0.009109,0.009109
20,493.726,1.75215,1.57367,1.27082,0.66392,0.62391,0.67333,0.34597,1.66861,1.27769,1.25104,0.0090595,0.0090595,0.0090595
21,517.989,1.69574,1.49886,1.24577,0.70314,0.62129,0.68708,0.34802,1.6883,1.19031,1.26098,0.00901,0.00901,0.00901
22,542.331,1.69312,1.50758,1.23231,0.68798,0.63479,0.67784,0.34947,1.65291,1.16846,1.24749,0.0089605,0.0089605,0.0089605
23,566.7,1.68102,1.49202,1.23223,0.69295,0.63976,0.68532,0.35211,1.6453,1.19719,1.23621,0.008911,0.008911,0.008911
24,591.08,1.67213,1.45927,1.23284,0.69647,0.63222,0.69331,0.3527,1.68831,1.15977,1.26063,0.0088615,0.0088615,0.0088615
25,615.603,1.63259,1.41729,1.20563,0.67431,0.65926,0.69432,0.352,1.64763,1.21612,1.23806,0.008812,0.008812,0.008812
26,639.828,1.6573,1.45482,1.22498,0.72178,0.63152,0.70412,0.36718,1.62504,1.13494,1.22787,0.0087625,0.0087625,0.0087625
27,664.046,1.65424,1.45891,1.22966,0.70203,0.65421,0.71146,0.37411,1.62583,1.11705,1.22946,0.008713,0.008713,0.008713
28,688.119,1.6247,1.40356,1.20938,0.71354,0.65807,0.71794,0.37901,1.61375,1.12253,1.22166,0.0086635,0.0086635,0.0086635
29,712.345,1.63312,1.41307,1.23133,0.70125,0.67135,0.72217,0.37866,1.62578,1.10877,1.2333,0.008614,0.008614,0.008614
30,736.72,1.62967,1.3998,1.21149,0.71901,0.66787,0.72634,0.38266,1.62211,1.10908,1.22571,0.0085645,0.0085645,0.0085645
31,761.159,1.62638,1.39138,1.20461,0.73485,0.68861,0.73388,0.38752,1.60557,1.11987,1.21826,0.008515,0.008515,0.008515
32,785.403,1.60111,1.38031,1.22388,0.69818,0.70978,0.74843,0.39667,1.60611,1.04385,1.22064,0.0084655,0.0084655,0.0084655
33,809.906,1.61904,1.38851,1.19991,0.76029,0.6788,0.74466,0.40264,1.58942,1.04562,1.21404,0.008416,0.008416,0.008416
34,834.256,1.60619,1.36281,1.19696,0.73817,0.68057,0.75526,0.40999,1.58228,1.08217,1.21093,0.0083665,0.0083665,0.0083665
35,858.525,1.59917,1.33594,1.19968,0.72808,0.69079,0.74708,0.41185,1.57161,1.03796,1.2064,0.008317,0.008317,0.008317
36,882.739,1.58649,1.34816,1.20153,0.74559,0.713,0.76356,0.42101,1.55716,1.03328,1.19482,0.0082675,0.0082675,0.0082675
37,907.021,1.57502,1.31994,1.19252,0.7384,0.69238,0.75407,0.41742,1.56325,1.02541,1.2009,0.008218,0.008218,0.008218
38,931.357,1.58095,1.31063,1.20074,0.7481,0.71358,0.76773,0.4224,1.55968,1.00031,1.20258,0.0081685,0.0081685,0.0081685
39,955.735,1.54818,1.28961,1.17397,0.7462,0.71265,0.76034,0.41574,1.56245,1.01381,1.20116,0.008119,0.008119,0.008119
40,980.098,1.55182,1.24958,1.1803,0.76805,0.717,0.77264,0.42422,1.55183,0.995,1.19887,0.0080695,0.0080695,0.0080695
41,1004.42,1.53103,1.25458,1.18324,0.76908,0.69468,0.77133,0.42582,1.55088,1.01742,1.19406,0.00802,0.00802,0.00802
42,1028.55,1.52422,1.25877,1.16791,0.7739,0.70906,0.78499,0.43829,1.54252,0.96909,1.19116,0.0079705,0.0079705,0.0079705
43,1052.81,1.53975,1.2803,1.18204,0.76696,0.71894,0.7813,0.43372,1.53741,0.95356,1.1903,0.007921,0.007921,0.007921
44,1077.12,1.55683,1.2959,1.19146,0.76159,0.71059,0.76824,0.42615,1.54796,0.97736,1.1907,0.0078715,0.0078715,0.0078715
45,1101.26,1.53656,1.24284,1.18522,0.75218,0.7323,0.77417,0.427,1.57357,0.97017,1.20398,0.007822,0.007822,0.007822
46,1125.63,1.54385,1.26133,1.17443,0.76853,0.72814,0.79132,0.44538,1.52643,0.94986,1.1829,0.0077725,0.0077725,0.0077725
47,1149.78,1.56004,1.26576,1.19705,0.788,0.70922,0.78804,0.44073,1.54142,0.96603,1.18896,0.007723,0.007723,0.007723
48,1173.97,1.53512,1.23719,1.17511,0.76559,0.74928,0.78923,0.44354,1.53127,0.96113,1.18852,0.0076735,0.0076735,0.0076735
49,1198.28,1.51333,1.19046,1.16822,0.78064,0.73461,0.79918,0.4506,1.5198,0.92927,1.18395,0.007624,0.007624,0.007624
50,1222.55,1.51911,1.23777,1.17629,0.7819,0.73163,0.78536,0.44007,1.52223,0.95576,1.18294,0.0075745,0.0075745,0.0075745
51,1246.54,1.48741,1.19387,1.15227,0.80307,0.74047,0.79667,0.45061,1.51576,0.91922,1.17973,0.007525,0.007525,0.007525
52,1271.06,1.50642,1.18757,1.15533,0.7747,0.74932,0.79226,0.44801,1.51946,0.942,1.18087,0.0074755,0.0074755,0.0074755
53,1295.67,1.49508,1.17938,1.15851,0.79253,0.73717,0.79773,0.45437,1.50958,0.91264,1.17657,0.007426,0.007426,0.007426
54,1319.93,1.47922,1.19181,1.15777,0.76446,0.74343,0.79125,0.44084,1.53857,0.94549,1.18728,0.0073765,0.0073765,0.0073765
55,1343.82,1.50878,1.19348,1.18133,0.77857,0.75912,0.80647,0.45524,1.5164,0.90892,1.17611,0.007327,0.007327,0.007327
56,1367.98,1.47875,1.1465,1.14652,0.76576,0.7582,0.80871,0.45804,1.52226,0.91726,1.17908,0.0072775,0.0072775,0.0072775
57,1392.68,1.48151,1.15091,1.14345,0.80232,0.74712,0.81016,0.46151,1.51566,0.90549,1.18373,0.007228,0.007228,0.007228
58,1417.11,1.47637,1.17159,1.16197,0.80429,0.73316,0.80271,0.45762,1.50508,0.90875,1.17287,0.0071785,0.0071785,0.0071785
59,1441.7,1.50142,1.19336,1.16002,0.81044,0.75522,0.81533,0.46523,1.49657,0.89981,1.17232,0.007129,0.007129,0.007129
